[{'AccelX': 0.04, 'AccelY': -0.71, 'AccelZ': 9.09, 'GyroX': -1.66, 'GyroY': 4.68, 'GyroZ': -0.3, 'Temp': 27.02}]
[{'AccelX': 0.19, 'AccelY': -0.69, 'AccelZ': 9.12, 'GyroX': -1.58, 'GyroY': 2.59, 'GyroZ': -0.59, 'Temp': 26.84}]
[{'AccelX': 0.2, 'AccelY': -0.66, 'AccelZ': 9.19, 'GyroX': -0.95, 'GyroY': 2.7, 'GyroZ': -1.05, 'Temp': 26.93}]
[{'AccelX': 0.09, 'AccelY': -0.62, 'AccelZ': 9.0, 'GyroX': -0.79, 'GyroY': 4.21, 'GyroZ': -0.74, 'Temp': 26.84}]
[{'AccelX': 0.04, 'AccelY': -0.6, 'AccelZ': 9.18, 'GyroX': -1.24, 'GyroY': 2.1, 'GyroZ': -0.64, 'Temp': 26.98}]
[{'AccelX': -0.0, 'AccelY': -0.62, 'AccelZ': 9.08, 'GyroX': -1.05, 'GyroY': 3.85, 'GyroZ': 0.47, 'Temp': 27.02}]
[{'AccelX': 0.08, 'AccelY': -0.68, 'AccelZ': 9.03, 'GyroX': -0.64, 'GyroY': 5.16, 'GyroZ': 0.48, 'Temp': 26.88}]
[{'AccelX': 0.16, 'AccelY': -0.65, 'AccelZ': 9.13, 'GyroX': -0.86, 'GyroY': 2.27, 'GyroZ': 0.75, 'Temp': 26.98}]
[{'AccelX': 0.23, 'AccelY': -0.67, 'AccelZ': 9.07, 'GyroX': -1.44, 'GyroY': 2.64, 'GyroZ': 0.92, 'Temp': 26.93}]
[{'AccelX': 0.16, 'AccelY': -0.52, 'AccelZ': 9.06, 'GyroX': -1.92, 'GyroY': 3.12, 'GyroZ': 0.53, 'Temp': 26.98}]
[{'AccelX': 0.13, 'AccelY': -0.58, 'AccelZ': 9.11, 'GyroX': -2.6, 'GyroY': 1.31, 'GyroZ': 0.33, 'Temp': 26.88}]
[{'AccelX': 0.01, 'AccelY': -0.55, 'AccelZ': 9.17, 'GyroX': -2.51, 'GyroY': 1.56, 'GyroZ': 0.29, 'Temp': 27.02}]
[{'AccelX': -0.03, 'AccelY': -0.64, 'AccelZ': 9.12, 'GyroX': -3.24, 'GyroY': 2.37, 'GyroZ': 0.6, 'Temp': 26.98}]
[{'AccelX': 0.08, 'AccelY': -0.65, 'AccelZ': 9.17, 'GyroX': -2.79, 'GyroY': -1.07, 'GyroZ': 0.0, 'Temp': 26.93}]
[{'AccelX': 0.03, 'AccelY': -0.64, 'AccelZ': 8.97, 'GyroX': -2.56, 'GyroY': 2.5, 'GyroZ': 0.42, 'Temp': 26.93}]
